dataset,method,n,task1_mean,task1_sd,task1_ci95,task2_mean,task2_sd,task2_ci95,payload_mb_mean,payload_mb_sd,payload_mb_ci95,final_frozen_mean,final_frozen_sd,final_frozen_ci95,mean_retention_mean,mean_retention_sd,mean_retention_ci95,mean_budget_utilization_mean,mean_budget_utilization_sd,mean_budget_utilization_ci95,jain_participation_mean,jain_participation_sd,jain_participation_ci95,wall_seconds_mean,wall_seconds_sd,wall_seconds_ci95
cwru,fedavg,5,0.9360208062418727,0.05314444792466304,0.06598754769246884,0.9009102730819244,0.02247456380336106,0.02790585674996689,28.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9922052273086113,0.0009767966225559942,0.0012128531997948088,3.711635180400299,0.1158874076046586,0.14389322186786968
cwru,fedprox,5,0.9360208062418727,0.05314444792466304,0.06598754769246884,0.9009102730819244,0.02247456380336106,0.02790585674996689,28.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9922052273086113,0.0009767966225559942,0.0012128531997948088,3.9739363170001525,0.20885356556121085,0.25932595325384505
cwru,fmtl,5,0.9344603381014304,0.05340789440892451,0.06631465970742967,0.9011703511053316,0.024275883878536374,0.030142491036553774,28.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9922052273086113,0.0009767966225559942,0.0012128531997948088,3.7231884651997462,0.10331001752800248,0.1282763294183205
cwru,proposed,5,0.9573472041612483,0.038787827496942394,0.04816144897149139,0.9100130039011702,0.009705127779997531,0.012050507762390156,13.032,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.5939808338622702,0.016667001732804474,0.020694816009623068,16.07045592620002,15.885482516519877,19.72443173485806
cwru,scaffold,5,0.9253576072821845,0.05317784760194632,0.06602901886930311,0.9029908972691807,0.018495735306995206,0.022965488651002192,28.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9922052273086113,0.0009767966225559942,0.0012128531997948088,4.045347586200296,0.09158866482711975,0.11372234775938596
cwru,topksgd,5,0.9357607282184656,0.05282689804950898,0.06559325744485595,0.9006501950585173,0.022980509453872252,0.02853407124925442,13.032,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9922052273086113,0.0009767966225559942,0.0012128531997948088,4.904800441399857,0.4585125852309514,0.5693185698046073
intel_sensor,fedavg,5,0.2359824985265732,0.030554618780517,0.03793857011860856,0.04064191654324526,0.008868074477647085,0.011011168812284035,7.430400000000001,9.930136612989092e-16,1.232989312959362e-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9960917529701829,0.0005151491760992186,0.0006396421856667306,19.51513203960021,3.9659260133495513,4.924347550315918
intel_sensor,fedprox,5,0.23598661720752712,0.030555174452187202,0.03793926007611627,0.040643485635519,0.008869100741911365,0.011012443087673636,7.430400000000001,9.930136612989092e-16,1.232989312959362e-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9960917529701829,0.0005151491760992186,0.0006396421856667306,16.126221044799784,1.996492352324425,2.4789726765703834
intel_sensor,fmtl,5,0.23843779563903805,0.030712426402572067,0.03813451416155648,0.0402998656034469,0.008613482199286607,0.01069505074602316,7.430400000000001,9.930136612989092e-16,1.232989312959362e-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9960917529701829,0.0005151491760992186,0.0006396421856667306,15.172209753599963,1.1257292614653391,1.3977774956860236
intel_sensor,proposed,5,0.21144288480281825,0.03079871998789039,0.03824166179972217,0.036849693581461854,0.006768016823429288,0.008403602828889549,3.2688,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.7185194135707352,0.01568435697837946,0.01947470139502975,125.11537570800003,101.96135035961541,126.60173794977486
intel_sensor,scaffold,5,0.23348912894725796,0.03079396425810997,0.038235756781268636,0.03955693058669563,0.008224444989671693,0.010211997248882668,7.430400000000001,9.930136612989092e-16,1.232989312959362e-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9960917529701829,0.0005151491760992186,0.0006396421856667306,15.956247094000172,1.2941497414607244,1.6068991422564907
intel_sensor,topksgd,5,0.2362544327974319,0.030501353564581692,0.037872432617625136,0.040680902823805744,0.008955552878721067,0.011119787593518029,3.2688,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9960917529701829,0.0005151491760992186,0.0006396421856667306,16.942802827599916,0.8098147282927988,1.0055177933363315
uci_har,fedavg,5,0.8635222259925348,0.009453805942955628,0.011738450485372792,0.9995928062436376,0.0002839022825022455,0.0003525112431909127,521.856,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9917096130471863,0.0013159717773471567,0.0016339947785841843,11.251502200400136,0.35015390651081973,0.4347734995448915
uci_har,fedprox,5,0.8634543603664744,0.009374918379638258,0.011640498638095593,0.9995928062436376,0.0002839022825022455,0.0003525112431909127,521.856,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9917096130471863,0.0013159717773471567,0.0016339947785841843,14.687534990599852,1.3305750543762616,1.6521271419270198
uci_har,fmtl,5,0.8620970478452664,0.009493913546854995,0.011788250653188852,0.9995928062436376,0.0002839022825022455,0.0003525112431909127,521.856,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9917096130471863,0.0013159717773471567,0.0016339947785841843,11.154718593400139,1.81990307699616,2.2597081309263847
uci_har,proposed,5,0.8699015948422124,0.011463566978487367,0.014233898408185267,0.9995249406175771,0.0001858576713624681,0.00023077277932076335,226.90079999999998,3.1776437161565096e-14,3.9455658014699586e-14,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.6739276974818185,0.024104099818820397,0.029929192954139164,113.64816150580002,42.37954361140771,52.62115356259129
uci_har,scaffold,5,0.86270783847981,0.012221937913133493,0.0151755402950195,0.9993892093654564,0.0005575730140873469,0.0006923183379622188,521.856,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9917096130471863,0.0013159717773471567,0.0016339947785841843,14.178902448999906,1.279444077955591,1.5886396493124675
uci_har,topksgd,5,0.8627757041058703,0.008755717878820051,0.010871659668559885,0.9995928062436376,0.0002839022825022455,0.0003525112431909127,226.90079999999998,3.1776437161565096e-14,3.9455658014699586e-14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9917096130471863,0.0013159717773471567,0.0016339947785841843,29.39302169240018,3.4723487666167436,4.311490452715255
