dataset,rho,n,task1_mean,task1_sd,task1_ci95,task2_mean,task2_sd,task2_ci95,payload_mb_mean,payload_mb_sd,payload_mb_ci95,final_frozen_mean,final_frozen_sd,final_frozen_ci95,mean_retention_mean,mean_retention_sd,mean_retention_ci95,mean_budget_utilization_mean,mean_budget_utilization_sd,mean_budget_utilization_ci95,jain_participation_mean,jain_participation_sd,jain_participation_ci95,wall_seconds_mean,wall_seconds_sd,wall_seconds_ci95
cwru,0.1,5,0.9557867360208062,0.041774716265823214,0.05187016122244987,0.9092327698309493,0.009350157613652823,0.01160975408640353,4.4208,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.597071159319368,0.011673786761920954,0.014494920744984945,16.866311924599973,7.738738890528459,9.608913471868528
cwru,0.3,5,0.9573472041612483,0.038787827496942394,0.04816144897149139,0.9100130039011702,0.009705127779997531,0.012050507762390156,13.032,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.5939808338622702,0.016667001732804474,0.020694816009623068,12.845676739800046,6.616621110030547,8.215620222079956
cwru,0.5,5,0.9594278283485046,0.03629929013756652,0.045071521724169304,0.9094928478543561,0.007834783007226053,0.009728167993811212,21.5712,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.5942169002340734,0.01653039470564768,0.02052519598210083,29.749025377199995,9.047178134704712,11.233555375199126
intel_sensor,0.1,5,0.21469499766826625,0.03124742612751867,0.038798804059071594,0.037845368310809105,0.007296850486058352,0.009060236548814294,1.1808,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.7219466974354938,0.01739001056804316,0.02159255005072218,153.6542065166,78.57539895496748,97.56424402688079
intel_sensor,0.3,5,0.21144288480281825,0.03079871998789039,0.03824166179972217,0.036849693581461854,0.006768016823429288,0.008403602828889549,3.2688,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.7185194135707352,0.01568435697837946,0.01947470139502975,12.852795043199967,0.8981959572413916,1.1152575834388034
intel_sensor,0.5,5,0.21333534121513362,0.030100198442255643,0.03737433274453785,0.03635676503181452,0.0059734053623741535,0.007416962385137295,5.3568,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.7265858927919736,0.016286917070635946,0.020222878568338966,13.636154194399978,0.6553549865273042,0.8137306928142665
uci_har,0.1,5,0.8713946386155411,0.009546525209796552,0.011853576660949014,0.9995249406175771,0.00038689359521516125,0.00048039184831428583,75.7008,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.6863499144388496,0.027706068649759868,0.0344016279741688,98.10398459800001,16.3234957407062,20.268296986067373
uci_har,0.3,5,0.8699015948422124,0.011463566978487367,0.014233898408185267,0.9995249406175771,0.0001858576713624681,0.00023077277932076335,226.90079999999998,3.1776437161565096e-14,3.9455658014699586e-14,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.6739276974818185,0.024104099818820397,0.029929192954139164,63.33955687239995,40.261362538090246,49.99108438217638
uci_har,0.5,5,0.8659653885307093,0.01923724164649929,0.02388619037720427,0.9995249406175771,0.00038689359521516125,0.00048039184831428583,378.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.6760352757913791,0.019924261891549878,0.024739238681520715,20.260526000599974,0.5618245833224952,0.6975973584173731
