dataset,eta_f,n,task1_mean,task1_sd,task1_ci95,task2_mean,task2_sd,task2_ci95,payload_mb_mean,payload_mb_sd,payload_mb_ci95,final_frozen_mean,final_frozen_sd,final_frozen_ci95,mean_retention_mean,mean_retention_sd,mean_retention_ci95,mean_budget_utilization_mean,mean_budget_utilization_sd,mean_budget_utilization_ci95,jain_participation_mean,jain_participation_sd,jain_participation_ci95,wall_seconds_mean,wall_seconds_sd,wall_seconds_ci95
cwru,0.0005,5,0.9573472041612483,0.038787827496942394,0.04816144897149139,0.9100130039011702,0.009705127779997531,0.012050507762390156,13.032,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.5939808338622702,0.016667001732804474,0.020694816009623068,19.92925184559997,10.343157212715717,12.842725938790698
cwru,0.1,5,0.9573472041612483,0.038787827496942394,0.04816144897149139,0.9100130039011702,0.009705127779997531,0.012050507762390156,13.032,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.5939808338622702,0.016667001732804474,0.020694816009623068,11.064294215199993,1.7897460090079382,2.2222631853140267
cwru,0.5,5,0.9269180754226267,0.053910542070699126,0.06693877921283652,0.8990897269180754,0.015889256066690206,0.019729117216249977,12.981682000000001,0.11251446849183451,0.1397051648033427,10.4,5.549774770204643,6.890955530302674,1.0,0.0,0.0,0.9570345671903292,0.008769695468724003,0.010889015138725278,0.60806399156458,0.02396922337109882,0.029761721724797664,36.1299386246,16.78799902983871,20.845053997230444
cwru,1.0,5,0.848114434330299,0.07104344338687128,0.08821208596190536,0.8434330299089726,0.07684194348886488,0.09541187478213166,12.715611999999998,0.17809609027151657,0.22113550351098976,45.6,5.594640292279746,6.946663433823945,1.0,0.0,0.0,0.972281559818448,0.00310252388074649,0.003852292206290345,0.624184261489039,0.025361030009816224,0.03148987792055406,30.187246086400002,12.431353115692472,15.435563612713537
intel_sensor,0.0005,5,0.21144288480281825,0.03079871998789039,0.03824166179972217,0.036849693581461854,0.006768016823429288,0.008403602828889549,3.2688,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.7185194135707352,0.01568435697837946,0.01947470139502975,134.14610472159998,112.22665100380432,139.34779219040215
intel_sensor,0.1,5,0.21272490620613094,0.02928582427063716,0.03636315365457217,0.03801841363310808,0.007294841792166831,0.00905774242592578,3.2688,0.0,0.0,2.4,3.1304951684997055,3.8870231472769103,1.0,0.0,0.0,0.9523161717828541,8.569858347139051e-05,0.00010640884579348575,0.7190848005114251,0.019423097414764494,0.024116960793517675,12.96934836499995,0.27140740421906534,0.33699680266474985
intel_sensor,0.5,5,0.2824510484933853,0.03782744198894809,0.04696897286181824,0.06308802589774125,0.017112066699256037,0.02124743715532774,3.2688,0.0,0.0,22.4,1.6733200530681511,2.0777012673671353,1.0,0.0,0.0,0.9550501258622729,0.004944160402753759,0.006138985973443965,0.6565754682579599,0.019289180975062575,0.02395068157157218,13.385139340599926,0.6794925293044272,0.8437014106857234
intel_sensor,1.0,5,0.31550615429878237,0.024501612619053575,0.030422770287013862,0.0809270985424518,0.03141301017993056,0.03900440381562813,3.2562696000000004,0.010889377153905554,0.013520947574867095,38.6,4.8270073544588685,5.9935212510963725,1.0,0.0,0.0,0.9677058545765556,0.005643530034216746,0.0070073680662685895,0.7127061306252453,0.03269048694204285,0.04059060071968487,13.838614091,1.2625149505497193,1.5676193612915919
uci_har,0.0005,5,0.8699015948422124,0.011463566978487367,0.014233898408185267,0.9995249406175771,0.0001858576713624681,0.00023077277932076335,226.90079999999998,3.1776437161565096e-14,3.9455658014699586e-14,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.6739276974818185,0.024104099818820397,0.029929192954139164,106.95429338699996,22.442563414484027,27.86612301916976
uci_har,0.1,5,0.8699015948422124,0.011463566978487367,0.014233898408185267,0.9995249406175771,0.0001858576713624681,0.00023077277932076335,226.90079999999998,3.1776437161565096e-14,3.9455658014699586e-14,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.6739276974818185,0.024104099818820397,0.029929192954139164,47.54209859139996,36.606088052896816,45.4524616503589
uci_har,0.5,5,0.8699015948422124,0.011463566978487367,0.014233898408185267,0.9995249406175771,0.0001858576713624681,0.00023077277932076335,226.90079999999998,3.1776437161565096e-14,3.9455658014699586e-14,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.6739276974818185,0.024104099818820397,0.029929192954139164,19.343618609199986,0.32010629913950533,0.39746446723976836
uci_har,1.0,5,0.8646080760095012,0.010776005774143477,0.013380178414189838,0.9994570749915168,0.0003035043064132449,0.00037685037057313,226.90079999999998,3.1776437161565096e-14,3.9455658014699586e-14,4.6,1.51657508881031,1.8830766883484382,1.0,0.0,0.0,0.9523540334418215,0.00011888963002716222,0.00014762097336449252,0.6689546430268729,0.022648693135241385,0.02812206687239396,17.991075426800034,0.6269591601209915,0.7784726174663043
