family,run,dataset,method,variant,seed,rho,sigma,eta_f,task1,task2,payload_mb,residual_mb,wall_seconds,final_frozen,mean_frozen,mean_similarity,mean_retention,mean_budget_utilization,mean_stationarity,min_stationarity,residual_l2_final,jain_participation
main,intel_sensor_fedavg_22,intel_sensor,fedavg,full,22,0.3,0.6,0.0005,0.265681505203247,0.0378084480762481,7.4304,0.060736,18.727839221999602,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9963471882482694
main,intel_sensor_fedavg_33,intel_sensor,fedavg,full,33,0.3,0.6,0.0005,0.2545244395732879,0.0366287715733051,7.4304,0.060736,15.634635226000682,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9951974046234598
main,intel_sensor_fedavg_44,intel_sensor,fedavg,full,44,0.3,0.6,0.0005,0.1859708726406097,0.0463465973734855,7.4304,0.060736,16.246778569000526,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9963989710642971
main,intel_sensor_fedavg_55,intel_sensor,fedavg,full,55,0.3,0.6,0.0005,0.2385669499635696,0.0525539964437484,7.4304,0.060736,25.074252458000046,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9964109217093183
main,intel_sensor_fedprox_11,intel_sensor,fedprox,full,11,0.3,0.6,0.0005,0.2351738214492797,0.0298730283975601,7.4304,0.060736,14.929028845000175,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.99610427920557
main,intel_sensor_fedprox_22,intel_sensor,fedprox,full,22,0.3,0.6,0.0005,0.2656856477260589,0.0378098078072071,7.4304,0.060736,18.540532386999985,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9963471882482694
main,intel_sensor_fedprox_33,intel_sensor,fedprox,full,33,0.3,0.6,0.0005,0.2545284926891327,0.0366287790238857,7.4304,0.060736,16.83144409399938,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9951974046234598
main,intel_sensor_fedprox_44,intel_sensor,fedprox,full,44,0.3,0.6,0.0005,0.1859736293554306,0.046347938477993,7.4304,0.060736,13.385061306999887,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9963989710642971
main,intel_sensor_fedprox_55,intel_sensor,fedprox,full,55,0.3,0.6,0.0005,0.2385714948177337,0.0525578744709491,7.4304,0.060736,16.945038590999502,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9964109217093183
main,intel_sensor_fmtl_11,intel_sensor,fmtl,full,11,0.3,0.6,0.0005,0.2370509207248687,0.0295297801494598,7.4304,0.060736,13.381142074999843,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.99610427920557
main,intel_sensor_fmtl_22,intel_sensor,fmtl,full,22,0.3,0.6,0.0005,0.2694089412689209,0.0378469489514827,7.4304,0.060736,15.960769612999684,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9963471882482694
main,intel_sensor_fmtl_33,intel_sensor,fmtl,full,33,0.3,0.6,0.0005,0.2566510438919067,0.0367055684328079,7.4304,0.060736,14.989255569999841,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9951974046234598
main,intel_sensor_fmtl_44,intel_sensor,fmtl,full,44,0.3,0.6,0.0005,0.1886754184961319,0.0455126576125621,7.4304,0.060736,15.263351737000448,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9963989710642971
main,intel_sensor_fmtl_55,intel_sensor,fmtl,full,55,0.3,0.6,0.0005,0.2404026538133621,0.051904372870922,7.4304,0.060736,16.266529773000002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9964109217093183
