dataset,method,seed,task1_metric,task2_metric,payload_bytes,active_clients,frozen_clients,wall_seconds
intel_sensor,fedavg,44,0.18597087264060974,0.046346597373485565,7430400,24,0,16.246778569000526
intel_sensor,fedavg,55,0.23856694996356964,0.052553996443748474,7430400,24,0,25.074252458000046
intel_sensor,fedprox,11,0.23517382144927979,0.02987302839756012,7430400,24,0,14.929028845000175
intel_sensor,fedprox,22,0.26568564772605896,0.03780980780720711,7430400,24,0,18.540532386999985
intel_sensor,fedprox,33,0.2545284926891327,0.03662877902388573,7430400,24,0,16.83144409399938
intel_sensor,fedprox,44,0.1859736293554306,0.04634793847799301,7430400,24,0,13.385061306999887
intel_sensor,fedprox,55,0.23857149481773376,0.05255787447094917,7430400,24,0,16.945038590999502
intel_sensor,fmtl,11,0.23705092072486877,0.02952978014945984,7430400,24,0,13.381142074999843
intel_sensor,fmtl,22,0.2694089412689209,0.03784694895148277,7430400,24,0,15.960769612999684
intel_sensor,fmtl,33,0.25665104389190674,0.03670556843280792,7430400,24,0,14.989255569999841
intel_sensor,fmtl,44,0.1886754184961319,0.04551265761256218,7430400,24,0,15.263351737000448
intel_sensor,fmtl,55,0.24040265381336212,0.05190437287092209,7430400,24,0,16.266529773000002
intel_sensor,scaffold,11,0.23274634778499603,0.02942800708115101,7430400,24,0,15.761823138000182
intel_sensor,scaffold,22,0.26459670066833496,0.036285437643527985,7430400,24,0,15.561544135999611
intel_sensor,scaffold,33,0.25241178274154663,0.03636409714818001,7430400,24,0,15.183041848000357
intel_sensor,scaffold,44,0.18382394313812256,0.04568490758538246,7430400,24,0,15.059458437000103
intel_sensor,scaffold,55,0.2338668704032898,0.05002220347523689,7430400,24,0,18.215367911000612
intel_sensor,topksgd,11,0.23521260917186737,0.029844677075743675,3268800,24,0,17.17510753999977
intel_sensor,topksgd,22,0.26605165004730225,0.037720050662755966,3268800,24,0,17.327926480000315
intel_sensor,topksgd,33,0.2546297311782837,0.03673164173960686,3268800,24,0,16.0306938599997
intel_sensor,topksgd,44,0.18638254702091217,0.04627121239900589,3268800,24,0,16.21106612099993
intel_sensor,topksgd,55,0.23899562656879425,0.052836932241916656,3268800,24,0,17.969220136999866
uci_har,fedavg,11,0.8724126230064473,0.999660671869698,521856000,24,0,11.700372074999905
uci_har,fedavg,22,0.8649474041398032,0.999321343739396,521856000,24,0,10.911005101999763
uci_har,fedavg,33,0.8513742789277231,0.999321343739396,521856000,24,0,11.54125263900005
uci_har,fedavg,44,0.8564642008822532,1.0,521856000,24,0,10.982432626000445
uci_har,fedavg,55,0.8724126230064473,0.999660671869698,521856000,24,0,11.122448560000521
uci_har,fedprox,11,0.8724126230064473,0.999660671869698,521856000,24,0,14.040211384000031
uci_har,fedprox,22,0.8649474041398032,0.999321343739396,521856000,24,0,16.64846207299979
uci_har,fedprox,33,0.8513742789277231,0.999321343739396,521856000,24,0,13.282752587999312
uci_har,fedprox,44,0.8564642008822532,1.0,521856000,24,0,15.381154788999993
uci_har,fedprox,55,0.8720732948761453,0.999660671869698,521856000,24,0,14.085094119000132
uci_har,fmtl,11,0.8713946386155412,0.999660671869698,521856000,24,0,11.245048257000235
uci_har,fmtl,22,0.8639294197488971,0.999321343739396,521856000,24,0,8.458731437000097
uci_har,fmtl,33,0.8513742789277231,0.999321343739396,521856000,24,0,10.90572963700015
uci_har,fmtl,44,0.8530709195792331,1.0,521856000,24,0,11.624131601000045
