dataset,method,n_seeds,task1_metric_mean,task1_metric_sd,task1_metric_ci95,task2_metric_mean,task2_metric_sd,task2_metric_ci95,payload_bytes_mean,payload_bytes_sd,payload_bytes_ci95,active_clients_mean,active_clients_sd,active_clients_ci95,frozen_clients_mean,frozen_clients_sd,frozen_clients_ci95,wall_seconds_mean,wall_seconds_sd,wall_seconds_ci95
cwru,fedavg,5,0.9360208062418727,0.05314444792466301,0.0659875476924688,0.9009102730819244,0.02247456380336106,0.02790585674996689,28800000.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,3.711635180400299,0.1158874076046586,0.14389322186786968
cwru,fedprox,5,0.9360208062418727,0.05314444792466301,0.0659875476924688,0.9009102730819244,0.02247456380336106,0.02790585674996689,28800000.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,3.9739363170001525,0.20885356556121085,0.25932595325384505
cwru,fmtl,5,0.9344603381014306,0.05340789440892451,0.06631465970742967,0.9011703511053316,0.024275883878536353,0.03014249103655375,28800000.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,3.7231884651997462,0.10331001752800248,0.1282763294183205
cwru,proposed,5,0.9573472041612483,0.038787827496942394,0.04816144897149139,0.9100130039011705,0.009705127779997528,0.012050507762390151,13032000.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,16.07045592620002,15.885482516519877,19.72443173485806
cwru,scaffold,5,0.9253576072821845,0.05317784760194634,0.06602901886930314,0.9029908972691807,0.018495735306995182,0.02296548865100216,28800000.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,4.045347586200296,0.09158866482711975,0.11372234775938596
cwru,topksgd,5,0.9357607282184656,0.052826898049508984,0.06559325744485596,0.9006501950585173,0.022980509453872252,0.02853407124925442,13032000.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,4.904800441399857,0.4585125852309514,0.5693185698046073
intel_sensor,fedavg,5,0.2359824985265732,0.03055461878051701,0.03793857011860857,0.04064191654324532,0.0088680744776471,0.011011168812284056,7430400.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,19.51513203960021,3.9659260133495513,4.924347550315918
intel_sensor,fedprox,5,0.23598661720752717,0.03055517445218722,0.03793926007611629,0.040643485635519026,0.008869100741911383,0.011012443087673657,7430400.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,16.126221044799784,1.996492352324425,2.4789726765703834
intel_sensor,fmtl,5,0.23843779563903808,0.030712426402572074,0.038134514161556485,0.04029986560344696,0.00861348219928663,0.010695050746023189,7430400.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,15.172209753599963,1.1257292614653391,1.3977774956860236
intel_sensor,proposed,5,0.2114428848028183,0.0307987199878904,0.03824166179972218,0.03684969358146191,0.006768016823429295,0.008403602828889557,3268800.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,125.11537570800003,101.96135035961541,126.60173794977486
intel_sensor,scaffold,5,0.23348912894725798,0.03079396425810997,0.038235756781268636,0.03955693058669567,0.008224444989671722,0.010211997248882707,7430400.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,15.956247094000172,1.2941497414607244,1.6068991422564907
intel_sensor,topksgd,5,0.23625443279743194,0.030501353564581675,0.037872432617625115,0.040680902823805806,0.008955552878721065,0.011119787593518027,3268800.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,16.942802827599916,0.8098147282927988,1.0055177933363315
uci_har,fedavg,5,0.8635222259925348,0.009453805942955628,0.011738450485372792,0.9995928062436376,0.0002839022825022455,0.0003525112431909127,521856000.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,11.251502200400136,0.35015390651081973,0.4347734995448915
uci_har,fedprox,5,0.8634543603664744,0.009374918379638258,0.011640498638095593,0.9995928062436376,0.0002839022825022455,0.0003525112431909127,521856000.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,14.687534990599852,1.3305750543762616,1.6521271419270198
uci_har,fmtl,5,0.8620970478452664,0.009493913546854995,0.011788250653188852,0.9995928062436376,0.0002839022825022455,0.0003525112431909127,521856000.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,11.154718593400139,1.81990307699616,2.2597081309263847
uci_har,proposed,5,0.8699015948422124,0.011463566978487367,0.014233898408185267,0.9995249406175771,0.0001858576713624681,0.00023077277932076335,226900800.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,113.64816150580002,42.37954361140771,52.62115356259129
uci_har,scaffold,5,0.86270783847981,0.012221937913133493,0.0151755402950195,0.9993892093654564,0.0005575730140873672,0.000692318337962244,521856000.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,14.178902448999906,1.279444077955591,1.5886396493124675
uci_har,topksgd,5,0.8627757041058703,0.008755717878820051,0.010871659668559885,0.9995928062436376,0.0002839022825022455,0.0003525112431909127,226900800.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,29.39302169240018,3.4723487666167436,4.311490452715255
